product_name,price_per_unit,date,vendor_id
Rack Server,9380.29,2026-03-08,V000007
Rack Server,8782.65,2024-12-20,V000007
Rack Server,8350.62,2026-02-23,V000007
Cloud Compute Credit,305.47,2025-05-09,V000007
Cloud Compute Credit,404.01,2025-12-29,V000007
Cloud Compute Credit,260.89,2026-03-23,V000007
Cloud Compute Credit,181.04,2025-09-09,V000007
Enterprise Laptop,1228.73,2025-05-21,V000008
Enterprise Laptop,1073.6,2024-08-21,V000008
Enterprise Laptop,1187.72,2026-01-15,V000008
Enterprise Laptop,1161.22,2024-07-20,V000008
Corporate Smartphone,756.7,2024-05-02,V000008
Corporate Smartphone,703.31,2025-11-17,V000008
Rack Server,7464.28,2025-06-07,V000008
Rack Server,7918.65,2024-09-07,V000008
Cloud Compute Credit,300.2,2026-03-03,V000008
Cloud Compute Credit,337.96,2025-06-20,V000008
Cloud Compute Credit,295.89,2025-07-13,V000008
Enterprise Laptop,1217.61,2025-02-18,V000009
Enterprise Laptop,1045.37,2025-12-31,V000009
Corporate Smartphone,664.57,2025-09-23,V000009
Corporate Smartphone,705.76,2025-12-30,V000009
Corporate Smartphone,742.32,2024-09-01,V000009
Rack Server,8929.17,2025-08-07,V000009
Rack Server,7746.57,2026-02-19,V000009
Rack Server,7527.21,2025-06-07,V000009
Cloud Compute Credit,253.06,2025-09-23,V000009
Cloud Compute Credit,441.96,2024-09-25,V000009
Cloud Compute Credit,430.02,2026-04-11,V000009
Cloud Compute Credit,232.83,2025-09-01,V000009
Enterprise Laptop,1344.86,2025-08-16,V000010
Enterprise Laptop,1457.57,2024-09-28,V000010
Corporate Smartphone,831.17,2025-02-22,V000010
Corporate Smartphone,931.13,2024-09-21,V000010
Corporate Smartphone,1078.55,2026-01-14,V000010
Rack Server,10997.38,2024-05-02,V000010
Rack Server,9048.86,2025-02-28,V000010
Cloud Compute Credit,261.64,2024-06-06,V000010
Cloud Compute Credit,334.13,2024-05-09,V000010
Enterprise Laptop,1063.24,2025-06-08,V000011
Enterprise Laptop,1146.19,2024-06-23,V000011
Enterprise Laptop,1185.13,2026-03-04,V000011
Enterprise Laptop,935.32,2026-01-18,V000011
Corporate Smartphone,919.07,2025-06-24,V000011
Corporate Smartphone,802.71,2024-08-12,V000011
Rack Server,9593.38,2024-08-20,V000011
Rack Server,6266.16,2025-08-16,V000011
Rack Server,8819.33,2024-09-30,V000011
Rack Server,9677.51,2025-04-03,V000011
Cloud Compute Credit,299.53,2024-10-10,V000011
Cloud Compute Credit,271.86,2026-03-12,V000011
Cloud Compute Credit,400.26,2025-12-01,V000011
Enterprise Laptop,1415.71,2024-11-11,V000012
Enterprise Laptop,939.6,2026-01-30,V000012
Enterprise Laptop,1276.22,2026-03-19,V000012
Enterprise Laptop,1285.01,2025-08-13,V000012
Corporate Smartphone,578.78,2026-03-01,V000012
Corporate Smartphone,931.76,2024-12-16,V000012
Corporate Smartphone,956.5,2025-11-14,V000012
Rack Server,8115.44,2024-05-27,V000012
Rack Server,7765.46,2025-02-01,V000012
Rack Server,7866.39,2025-12-30,V000012
Rack Server,6813.09,2025-08-24,V000012
Cloud Compute Credit,112.26,2026-02-18,V000012
Cloud Compute Credit,312.46,2025-10-29,V000012
Enterprise Laptop,1310.27,2024-10-19,V000013
Enterprise Laptop,1571.9,2024-10-05,V000013
Corporate Smartphone,1106.37,2025-05-08,V000013
Corporate Smartphone,654.68,2024-08-07,V000013
Corporate Smartphone,951.33,2025-02-04,V000013
Rack Server,7466.2,2025-02-26,V000013
Rack Server,8900.63,2025-12-28,V000013
Cloud Compute Credit,307.34,2024-08-24,V000013
Cloud Compute Credit,280.64,2025-01-08,V000013
Enterprise Laptop,928.9,2025-11-17,V000014
Enterprise Laptop,1256.48,2025-03-19,V000014
Enterprise Laptop,1069.44,2026-03-17,V000014
Corporate Smartphone,684.42,2025-02-12,V000014
Corporate Smartphone,869.08,2025-09-02,V000014
Corporate Smartphone,924.04,2024-08-12,V000014
Rack Server,9530.76,2025-01-01,V000014
Rack Server,8827.6,2024-06-08,V000014
Rack Server,7541.28,2026-03-13,V000014
Rack Server,7359.06,2025-10-20,V000014
Cloud Compute Credit,111.77,2025-06-12,V000014
Cloud Compute Credit,495.43,2025-09-18,V000014
Cloud Compute Credit,258.27,2024-06-05,V000014
Enterprise Laptop,1004.55,2025-06-04,V000015
Enterprise Laptop,984.97,2025-08-14,V000015
Enterprise Laptop,1285.52,2024-07-31,V000015
Corporate Smartphone,533.12,2026-04-27,V000015
Corporate Smartphone,971.32,2026-02-24,V000015
Corporate Smartphone,640.36,2024-11-06,V000015
Rack Server,8388.74,2025-03-10,V000015
Rack Server,8078.02,2025-04-07,V000015
Rack Server,5796.55,2026-03-23,V000015
Cloud Compute Credit,182.95,2024-06-23,V000015
Cloud Compute Credit,143.0,2025-01-19,V000015
Cloud Compute Credit,202.93,2025-11-23,V000015
Enterprise Laptop,1074.38,2025-04-15,V000016
Enterprise Laptop,1174.08,2026-02-15,V000016
Enterprise Laptop,1139.96,2025-05-05,V000016
Corporate Smartphone,678.61,2026-03-01,V000016
Corporate Smartphone,625.87,2025-12-25,V000016
Corporate Smartphone,1059.91,2025-04-11,V000016
Rack Server,11238.14,2024-09-04,V000016
Rack Server,7081.06,2026-01-31,V000016
Cloud Compute Credit,375.29,2025-09-25,V000016
Cloud Compute Credit,236.28,2024-08-04,V000016
Cloud Compute Credit,154.82,2024-08-26,V000016
Enterprise Laptop,1077.76,2025-01-27,V000017
Enterprise Laptop,1141.99,2026-04-04,V000017
Corporate Smartphone,590.03,2025-01-02,V000017
Corporate Smartphone,915.72,2024-10-01,V000017
Rack Server,9360.75,2024-07-25,V000017
Rack Server,7370.15,2025-02-09,V000017
Cloud Compute Credit,175.72,2024-06-16,V000017
Cloud Compute Credit,291.25,2025-07-27,V000017
Enterprise Laptop,1087.36,2025-07-06,V000018
Enterprise Laptop,874.8,2025-11-02,V000018
Enterprise Laptop,1064.72,2025-02-13,V000018
Corporate Smartphone,505.95,2025-04-22,V000018
Corporate Smartphone,555.55,2025-10-04,V000018
Corporate Smartphone,685.47,2024-10-27,V000018
Rack Server,6691.7,2026-02-18,V000018
Rack Server,7058.8,2025-12-29,V000018
Rack Server,6303.38,2025-03-21,V000018
Cloud Compute Credit,427.47,2025-01-13,V000018
Cloud Compute Credit,383.47,2024-10-07,V000018
Cloud Compute Credit,462.53,2026-02-23,V000018
Cloud Compute Credit,245.66,2026-03-21,V000018
Enterprise Laptop,1304.17,2026-03-22,V000019
Enterprise Laptop,1194.88,2026-01-03,V000019
Corporate Smartphone,977.28,2025-11-28,V000019
Corporate Smartphone,654.07,2024-10-15,V000019
Corporate Smartphone,852.82,2025-11-07,V000019
Corporate Smartphone,602.77,2025-06-01,V000019
Rack Server,10917.7,2025-02-26,V000019
Rack Server,9831.88,2025-01-08,V000019
Rack Server,11068.3,2024-06-04,V000019
Rack Server,8796.62,2024-07-29,V000019
Cloud Compute Credit,241.87,2025-12-23,V000019
Cloud Compute Credit,554.93,2026-01-07,V000019
Enterprise Laptop,1176.94,2026-01-16,V000020
Enterprise Laptop,1310.51,2024-07-14,V000020
Corporate Smartphone,845.8,2025-02-01,V000020
Corporate Smartphone,656.92,2025-07-31,V000020
Rack Server,5945.84,2026-03-20,V000020
Rack Server,6230.46,2025-10-30,V000020
Rack Server,8222.1,2024-08-04,V000020
Rack Server,7425.54,2026-02-22,V000020
Cloud Compute Credit,262.29,2025-05-04,V000020
Cloud Compute Credit,358.98,2025-10-07,V000020
Enterprise Laptop,1460.78,2025-01-28,V000021
Enterprise Laptop,1251.11,2024-07-01,V000021
Corporate Smartphone,1021.9,2025-04-07,V000021
Corporate Smartphone,603.04,2026-03-30,V000021
Rack Server,6883.81,2026-01-02,V000021
Rack Server,9984.66,2025-07-19,V000021
Cloud Compute Credit,395.74,2024-07-15,V000021
Cloud Compute Credit,438.04,2025-07-29,V000021
Cloud Compute Credit,381.45,2026-04-18,V000021
Cloud Compute Credit,171.07,2025-05-19,V000021
Enterprise Laptop,1443.59,2024-09-21,V000022
Enterprise Laptop,1200.59,2024-07-08,V000022
Enterprise Laptop,1024.97,2025-05-31,V000022
Enterprise Laptop,1413.43,2025-08-12,V000022
Corporate Smartphone,743.53,2024-09-28,V000022
Corporate Smartphone,602.03,2025-11-20,V000022
Rack Server,6807.98,2026-03-24,V000022
Rack Server,10336.46,2024-11-02,V000022
Cloud Compute Credit,232.67,2024-12-09,V000022
Cloud Compute Credit,272.54,2024-09-10,V000022
Cloud Compute Credit,336.54,2024-12-01,V000022
Enterprise Laptop,893.47,2025-12-09,V000023
Enterprise Laptop,1441.38,2024-07-13,V000023
Enterprise Laptop,1243.56,2025-09-04,V000023
Corporate Smartphone,1034.17,2024-12-16,V000023
Corporate Smartphone,715.1,2024-10-21,V000023
Rack Server,8819.47,2025-05-28,V000023
Rack Server,6642.21,2026-01-24,V000023
Rack Server,7649.55,2025-09-29,V000023
Cloud Compute Credit,442.63,2025-06-26,V000023
Cloud Compute Credit,483.29,2026-02-07,V000023
Enterprise Laptop,1183.03,2025-09-23,V000024
Enterprise Laptop,1264.33,2024-12-03,V000024
Corporate Smartphone,940.87,2025-01-07,V000024
Corporate Smartphone,705.28,2025-07-19,V000024
Corporate Smartphone,647.93,2024-10-14,V000024
Rack Server,6101.98,2025-10-13,V000024
Rack Server,10475.31,2024-09-03,V000024
Rack Server,7703.12,2024-10-20,V000024
Cloud Compute Credit,222.69,2024-12-06,V000024
Cloud Compute Credit,239.23,2024-06-27,V000024
Cloud Compute Credit,426.07,2025-08-19,V000024
Enterprise Laptop,1629.9,2024-05-01,V000025
Enterprise Laptop,1279.07,2025-04-13,V000025
Enterprise Laptop,1223.34,2025-09-17,V000025
Enterprise Laptop,1390.94,2025-09-20,V000025
Corporate Smartphone,790.98,2024-08-25,V000025
Corporate Smartphone,1256.74,2024-06-27,V000025
Rack Server,8314.57,2026-03-03,V000025
Rack Server,8296.23,2024-09-26,V000025
Cloud Compute Credit,340.77,2024-11-29,V000025
Cloud Compute Credit,297.4,2024-12-15,V000025
Cloud Compute Credit,278.1,2024-12-13,V000025
Enterprise Laptop,1499.49,2024-06-16,V000026
Enterprise Laptop,1163.03,2025-03-01,V000026
Enterprise Laptop,1657.79,2024-09-20,V000026
Corporate Smartphone,1261.33,2025-05-08,V000026
Corporate Smartphone,1177.18,2025-01-14,V000026
Rack Server,10617.68,2024-05-12,V000026
Rack Server,10722.95,2025-04-23,V000026
Cloud Compute Credit,252.35,2024-05-08,V000026
Cloud Compute Credit,314.27,2025-04-13,V000026
Enterprise Laptop,1153.31,2025-03-12,V000027
Enterprise Laptop,1116.65,2025-10-22,V000027
Enterprise Laptop,1297.48,2024-06-10,V000027
Corporate Smartphone,685.87,2025-09-14,V000027
Corporate Smartphone,1019.4,2024-11-17,V000027
Corporate Smartphone,1048.18,2025-11-09,V000027
Corporate Smartphone,944.19,2025-01-08,V000027
Rack Server,7688.7,2025-01-11,V000027
Rack Server,6486.32,2025-07-24,V000027
Rack Server,10059.23,2024-12-28,V000027
Cloud Compute Credit,215.74,2024-05-05,V000027
Cloud Compute Credit,170.51,2025-05-09,V000027
Enterprise Laptop,1290.69,2024-10-24,V000028
Enterprise Laptop,1065.16,2025-02-06,V000028
Enterprise Laptop,1345.92,2024-12-03,V000028
Enterprise Laptop,1271.48,2026-03-20,V000028
Corporate Smartphone,642.45,2025-12-31,V000028
Corporate Smartphone,1088.37,2024-08-07,V000028
Rack Server,9026.97,2025-06-09,V000028
Rack Server,6692.69,2025-09-30,V000028
Cloud Compute Credit,491.76,2026-04-09,V000028
Cloud Compute Credit,495.15,2026-02-04,V000028
Enterprise Laptop,1207.23,2025-11-16,V000029
Enterprise Laptop,1424.46,2026-04-14,V000029
Enterprise Laptop,1365.49,2024-07-22,V000029
Enterprise Laptop,1291.2,2024-07-24,V000029
Corporate Smartphone,730.57,2024-05-01,V000029
Corporate Smartphone,1066.89,2026-03-16,V000029
Rack Server,8888.3,2025-08-31,V000029
Rack Server,12647.18,2024-06-03,V000029
Cloud Compute Credit,156.58,2024-07-11,V000029
Cloud Compute Credit,400.36,2024-10-01,V000029
Cloud Compute Credit,266.86,2026-03-05,V000029
Cloud Compute Credit,429.65,2025-03-02,V000029
Enterprise Laptop,1181.35,2025-06-05,V000030
Enterprise Laptop,1511.28,2025-02-27,V000030
Corporate Smartphone,1248.08,2024-12-15,V000030
Corporate Smartphone,1120.43,2024-07-14,V000030
Corporate Smartphone,1102.0,2024-08-11,V000030
Corporate Smartphone,897.69,2026-04-04,V000030
Rack Server,10291.05,2025-03-31,V000030
Rack Server,7622.68,2025-07-09,V000030
Rack Server,7877.06,2025-03-04,V000030
Cloud Compute Credit,506.68,2025-08-24,V000030
Cloud Compute Credit,407.25,2025-10-24,V000030
Cloud Compute Credit,166.56,2024-08-14,V000030
Enterprise Laptop,1306.37,2024-09-15,V000031
Enterprise Laptop,1348.66,2025-06-05,V000031
Corporate Smartphone,658.95,2025-09-20,V000031
Corporate Smartphone,639.74,2025-10-28,V000031
Rack Server,9840.49,2024-11-21,V000031
Rack Server,12291.98,2024-06-12,V000031
Rack Server,8835.86,2024-08-19,V000031
Cloud Compute Credit,472.14,2024-10-30,V000031
Cloud Compute Credit,507.38,2024-08-03,V000031
Cloud Compute Credit,552.94,2025-10-02,V000031
Cloud Compute Credit,541.23,2025-04-25,V000031
Enterprise Laptop,1130.81,2024-11-11,V000032
Enterprise Laptop,1169.24,2024-08-01,V000032
Enterprise Laptop,1144.47,2024-06-30,V000032
Enterprise Laptop,1411.93,2024-06-20,V000032
Corporate Smartphone,1015.12,2024-05-05,V000032
Corporate Smartphone,992.75,2025-12-25,V000032
Rack Server,8118.28,2025-09-25,V000032
Rack Server,7330.64,2024-12-19,V000032
Cloud Compute Credit,127.61,2024-06-15,V000032
Cloud Compute Credit,305.45,2024-07-17,V000032
Cloud Compute Credit,366.87,2024-07-12,V000032
Enterprise Laptop,1371.23,2024-11-30,V000033
Enterprise Laptop,1554.28,2024-06-25,V000033
Corporate Smartphone,1268.86,2024-06-17,V000033
Corporate Smartphone,649.72,2025-04-02,V000033
Corporate Smartphone,638.15,2025-01-12,V000033
Corporate Smartphone,850.57,2026-01-15,V000033
Rack Server,8229.45,2025-02-27,V000033
Rack Server,9278.67,2024-06-25,V000033
Rack Server,7309.24,2025-10-08,V000033
Rack Server,10902.6,2024-05-28,V000033
Cloud Compute Credit,289.47,2025-04-30,V000033
Cloud Compute Credit,334.35,2025-10-08,V000033
Cloud Compute Credit,533.96,2025-03-08,V000033
Enterprise Laptop,1282.38,2025-04-28,V000034
Enterprise Laptop,1463.28,2025-09-20,V000034
Enterprise Laptop,1369.84,2025-01-29,V000034
Enterprise Laptop,1368.09,2024-05-15,V000034
Corporate Smartphone,1055.66,2026-01-21,V000034
Corporate Smartphone,676.26,2024-05-28,V000034
Rack Server,8723.2,2025-01-28,V000034
Rack Server,11827.72,2024-07-25,V000034
Cloud Compute Credit,278.9,2025-10-19,V000034
Cloud Compute Credit,354.91,2025-10-07,V000034
Cloud Compute Credit,178.26,2024-05-25,V000034
Enterprise Laptop,1154.33,2024-08-17,V000035
Enterprise Laptop,1229.65,2024-08-19,V000035
Corporate Smartphone,566.86,2025-08-13,V000035
Corporate Smartphone,848.42,2026-01-13,V000035
Corporate Smartphone,1014.56,2025-12-16,V000035
Corporate Smartphone,1006.64,2025-06-29,V000035
Rack Server,8100.42,2025-03-16,V000035
Rack Server,7836.85,2025-07-17,V000035
Rack Server,7382.4,2025-03-11,V000035
Cloud Compute Credit,390.26,2025-05-12,V000035
Cloud Compute Credit,252.47,2025-07-11,V000035
Cloud Compute Credit,294.77,2025-02-01,V000035
Enterprise Laptop,1195.85,2025-07-20,V000036
Enterprise Laptop,1035.97,2025-04-15,V000036
Enterprise Laptop,1117.37,2026-02-23,V000036
Corporate Smartphone,1059.23,2024-12-29,V000036
Corporate Smartphone,790.21,2024-06-09,V000036
Rack Server,10908.49,2024-05-06,V000036
Rack Server,7603.54,2025-08-11,V000036
Rack Server,7430.82,2024-07-14,V000036
Rack Server,5844.72,2026-02-05,V000036
Cloud Compute Credit,167.51,2025-12-27,V000036
Cloud Compute Credit,298.2,2025-07-15,V000036
Enterprise Laptop,1141.33,2025-07-09,V000037
Enterprise Laptop,1149.37,2025-02-24,V000037
Enterprise Laptop,1397.27,2025-03-22,V000037
Corporate Smartphone,757.07,2026-04-24,V000037
Corporate Smartphone,672.06,2025-10-14,V000037
Corporate Smartphone,1154.94,2024-09-17,V000037
Rack Server,8458.43,2024-07-29,V000037
Rack Server,8446.86,2025-03-16,V000037
Cloud Compute Credit,471.36,2024-09-16,V000037
Cloud Compute Credit,273.71,2025-01-14,V000037
Enterprise Laptop,1342.3,2025-01-16,V000038
Enterprise Laptop,1012.52,2026-02-09,V000038
Enterprise Laptop,1213.09,2024-05-13,V000038
Corporate Smartphone,813.01,2025-12-17,V000038
Corporate Smartphone,852.63,2025-03-15,V000038
Corporate Smartphone,905.44,2025-11-01,V000038
Rack Server,10953.45,2024-08-03,V000038
Rack Server,7691.87,2025-12-02,V000038
Rack Server,8626.37,2024-12-22,V000038
Cloud Compute Credit,238.4,2025-05-11,V000038
Cloud Compute Credit,139.25,2025-12-09,V000038
Cloud Compute Credit,406.39,2025-09-25,V000038
Enterprise Laptop,1367.01,2024-12-15,V000039
Enterprise Laptop,1286.86,2025-02-15,V000039
Corporate Smartphone,1042.43,2024-05-05,V000039
Corporate Smartphone,1064.5,2024-07-17,V000039
Rack Server,8652.05,2024-09-09,V000039
Rack Server,10614.28,2024-06-11,V000039
Rack Server,9226.91,2025-06-06,V000039
Cloud Compute Credit,130.84,2026-01-06,V000039
Cloud Compute Credit,261.97,2026-03-22,V000039
Cloud Compute Credit,509.95,2025-06-26,V000039
Cloud Compute Credit,173.28,2024-05-23,V000039
Enterprise Laptop,1271.13,2024-09-22,V000040
Enterprise Laptop,1341.14,2025-09-15,V000040
Corporate Smartphone,645.32,2026-01-06,V000040
Corporate Smartphone,793.4,2024-06-08,V000040
Corporate Smartphone,1076.8,2026-02-05,V000040
Rack Server,9801.23,2024-10-26,V000040
Rack Server,9490.47,2025-07-22,V000040
Rack Server,9593.88,2024-05-15,V000040
Rack Server,6921.88,2026-02-28,V000040
Cloud Compute Credit,264.21,2024-12-17,V000040
Cloud Compute Credit,211.1,2025-11-01,V000040
Cloud Compute Credit,410.19,2025-06-15,V000040
Enterprise Laptop,816.93,2025-10-04,V000041
Enterprise Laptop,1023.48,2026-01-25,V000041
Enterprise Laptop,1158.28,2024-08-26,V000041
Corporate Smartphone,695.65,2024-10-06,V000041
Corporate Smartphone,512.36,2024-12-02,V000041
Rack Server,7306.73,2026-02-07,V000041
Rack Server,8098.89,2024-10-04,V000041
Cloud Compute Credit,169.75,2024-09-07,V000041
Cloud Compute Credit,319.81,2026-01-17,V000041
Enterprise Laptop,1097.85,2025-02-07,V000042
Enterprise Laptop,935.75,2026-02-19,V000042
Enterprise Laptop,1354.46,2025-01-09,V000042
Corporate Smartphone,622.48,2024-09-11,V000042
Corporate Smartphone,875.23,2025-04-11,V000042
Corporate Smartphone,964.23,2025-04-28,V000042
Rack Server,11196.52,2024-09-18,V000042
Rack Server,8346.55,2024-11-26,V000042
Rack Server,7450.86,2026-01-13,V000042
Cloud Compute Credit,493.3,2025-08-03,V000042
Cloud Compute Credit,247.0,2025-03-20,V000042
Cloud Compute Credit,212.58,2024-09-04,V000042
Cloud Compute Credit,426.62,2025-12-25,V000042
Enterprise Laptop,1147.43,2024-06-20,V000043
Enterprise Laptop,1260.28,2025-08-05,V000043
Enterprise Laptop,1244.07,2025-02-21,V000043
Corporate Smartphone,978.68,2025-06-11,V000043
Corporate Smartphone,1001.85,2025-04-11,V000043
Corporate Smartphone,603.66,2024-10-29,V000043
Corporate Smartphone,924.51,2025-11-18,V000043
Rack Server,8847.76,2026-02-20,V000043
Rack Server,10084.52,2025-03-05,V000043
Rack Server,10858.75,2024-11-18,V000043
Rack Server,7289.46,2025-03-09,V000043
Cloud Compute Credit,382.21,2025-11-26,V000043
Cloud Compute Credit,209.54,2025-10-19,V000043
Cloud Compute Credit,409.61,2024-07-14,V000043
Enterprise Laptop,1262.03,2025-08-18,V000044
Enterprise Laptop,963.37,2025-04-12,V000044
Enterprise Laptop,1210.46,2026-01-30,V000044
Corporate Smartphone,726.59,2024-10-26,V000044
Corporate Smartphone,542.28,2026-02-23,V000044
Corporate Smartphone,1023.23,2024-10-27,V000044
Corporate Smartphone,723.77,2024-10-08,V000044
Rack Server,8353.23,2024-07-02,V000044
Rack Server,7613.71,2026-02-21,V000044
Cloud Compute Credit,150.29,2025-08-12,V000044
Cloud Compute Credit,443.69,2024-07-23,V000044
Cloud Compute Credit,258.31,2026-03-20,V000044
Enterprise Laptop,1161.54,2026-04-01,V000045
Enterprise Laptop,1182.08,2025-11-12,V000045
Enterprise Laptop,1475.75,2024-09-18,V000045
Enterprise Laptop,1405.17,2024-12-01,V000045
Corporate Smartphone,807.3,2026-04-23,V000045
Corporate Smartphone,857.61,2024-06-01,V000045
Corporate Smartphone,959.78,2025-03-01,V000045
Corporate Smartphone,806.54,2025-08-20,V000045
Rack Server,8479.0,2024-05-18,V000045
Rack Server,7041.83,2025-12-11,V000045
Rack Server,9970.62,2024-10-22,V000045
Rack Server,9432.39,2024-11-10,V000045
Cloud Compute Credit,317.54,2024-08-22,V000045
Cloud Compute Credit,445.87,2026-03-09,V000045
Enterprise Laptop,1264.48,2024-06-24,V000046
Enterprise Laptop,1015.12,2026-02-02,V000046
Corporate Smartphone,628.66,2025-08-01,V000046
Corporate Smartphone,572.95,2025-05-15,V000046
Corporate Smartphone,939.8,2024-06-24,V000046
Rack Server,8456.19,2025-05-26,V000046
Rack Server,7755.85,2024-05-08,V000046
Rack Server,8284.31,2025-03-09,V000046
Cloud Compute Credit,330.82,2025-07-17,V000046
Cloud Compute Credit,140.8,2025-03-24,V000046
Cloud Compute Credit,298.27,2024-12-25,V000046
Cloud Compute Credit,142.75,2025-11-30,V000046
Enterprise Laptop,1470.53,2025-01-19,V000047
Enterprise Laptop,1207.81,2024-08-04,V000047
Enterprise Laptop,1418.67,2024-07-17,V000047
Enterprise Laptop,1415.72,2024-08-28,V000047
Corporate Smartphone,1078.78,2025-07-26,V000047
Corporate Smartphone,798.18,2024-10-12,V000047
Corporate Smartphone,593.43,2025-08-12,V000047
Corporate Smartphone,748.93,2025-03-26,V000047
Rack Server,11461.1,2024-09-24,V000047
Rack Server,7871.35,2025-05-16,V000047
Cloud Compute Credit,207.83,2026-03-31,V000047
Cloud Compute Credit,542.11,2025-09-26,V000047
Enterprise Laptop,1268.17,2025-05-21,V000048
Enterprise Laptop,1164.75,2025-08-14,V000048
Enterprise Laptop,1093.5,2025-05-31,V000048
Enterprise Laptop,1414.33,2025-01-16,V000048
Corporate Smartphone,871.76,2025-01-11,V000048
Corporate Smartphone,1194.9,2024-06-22,V000048
Corporate Smartphone,982.45,2025-09-18,V000048
Rack Server,8953.09,2026-04-14,V000048
Rack Server,8357.33,2026-01-22,V000048
Cloud Compute Credit,273.95,2026-04-27,V000048
Cloud Compute Credit,565.56,2026-04-21,V000048
Cloud Compute Credit,342.51,2024-08-23,V000048
Enterprise Laptop,1199.66,2024-12-23,V000049
Enterprise Laptop,1091.01,2025-04-24,V000049
Enterprise Laptop,1146.03,2025-02-02,V000049
Corporate Smartphone,968.35,2024-05-04,V000049
Corporate Smartphone,656.28,2024-05-29,V000049
Corporate Smartphone,575.78,2025-12-31,V000049
Rack Server,8876.87,2024-09-23,V000049
Rack Server,8570.24,2024-06-11,V000049
Rack Server,10038.56,2024-06-10,V000049
Cloud Compute Credit,246.21,2024-05-17,V000049
Cloud Compute Credit,453.01,2024-09-30,V000049
